State,Year,Crime Type,Crime Count
Alabama,1960,Data.Population,3266740.0
Alabama,1961,Data.Population,3302000.0
Alabama,1962,Data.Population,3358000.0
Alabama,1963,Data.Population,3347000.0
Alabama,1964,Data.Population,3407000.0
Alabama,1965,Data.Population,3462000.0
Alabama,1966,Data.Population,3517000.0
Alabama,1967,Data.Population,3540000.0
Alabama,1968,Data.Population,3566000.0
Alabama,1969,Data.Population,3531000.0
Alabama,1970,Data.Population,3444165.0
Alabama,1971,Data.Population,3479000.0
Alabama,1972,Data.Population,3510000.0
Alabama,1973,Data.Population,3539000.0
Alabama,1974,Data.Population,3577000.0
Alabama,1975,Data.Population,3614000.0
Alabama,1976,Data.Population,3665000.0
Alabama,1977,Data.Population,3690000.0
Alabama,1978,Data.Population,3742000.0
Alabama,1979,Data.Population,3769000.0
Alabama,1980,Data.Population,3861466.0
Alabama,1981,Data.Population,3916000.0
Alabama,1982,Data.Population,3943000.0
Alabama,1983,Data.Population,3959000.0
Alabama,1984,Data.Population,3990000.0
Alabama,1985,Data.Population,4021000.0
Alabama,1986,Data.Population,4053000.0
Alabama,1987,Data.Population,4083000.0
Alabama,1988,Data.Population,4127000.0
Alabama,1989,Data.Population,4118000.0
Alabama,1990,Data.Population,4040587.0
Alabama,1991,Data.Population,4089000.0
Alabama,1992,Data.Population,4136000.0
Alabama,1993,Data.Population,4187000.0
Alabama,1994,Data.Population,4219000.0
Alabama,1995,Data.Population,4253000.0
Alabama,1996,Data.Population,4273000.0
Alabama,1997,Data.Population,4319000.0
Alabama,1998,Data.Population,4352000.0
Alabama,1999,Data.Population,4369862.0
Alabama,2000,Data.Population,4447100.0
Alabama,2001,Data.Population,4468912.0
Alabama,2002,Data.Population,4478896.0
Alabama,2003,Data.Population,4503726.0
Alabama,2004,Data.Population,4525375.0
Alabama,2005,Data.Population,4548327.0
Alabama,2006,Data.Population,4599030.0
Alabama,2007,Data.Population,4627851.0
Alabama,2008,Data.Population,4661900.0
Alabama,2009,Data.Population,4708708.0
Alabama,2010,Data.Population,4785401.0
Alabama,2011,Data.Population,4803689.0
Alabama,2012,Data.Population,4822023.0
Alabama,2013,Data.Population,4833722.0
Alabama,2014,Data.Population,4849377.0
Alabama,2015,Data.Population,4858979.0
Alabama,2016,Data.Population,4863300.0
Alabama,2017,Data.Population,4874747.0
Alabama,2018,Data.Population,4887871.0
Alabama,2019,Data.Population,4903185.0
Alaska,1960,Data.Population,226167.0
Alaska,1961,Data.Population,234000.0
Alaska,1962,Data.Population,246000.0
Alaska,1963,Data.Population,248000.0
Alaska,1964,Data.Population,250000.0
Alaska,1965,Data.Population,253000.0
Alaska,1966,Data.Population,272000.0
Alaska,1967,Data.Population,272000.0
Alaska,1968,Data.Population,277000.0
Alaska,1969,Data.Population,282000.0
Alaska,1970,Data.Population,302173.0
Alaska,1971,Data.Population,313000.0
Alaska,1972,Data.Population,325000.0
Alaska,1973,Data.Population,330000.0
Alaska,1974,Data.Population,337000.0
Alaska,1975,Data.Population,352000.0
Alaska,1976,Data.Population,382000.0
Alaska,1977,Data.Population,407000.0
Alaska,1978,Data.Population,403000.0
Alaska,1979,Data.Population,406000.0
Alaska,1980,Data.Population,440142.0
Alaska,1981,Data.Population,412000.0
Alaska,1982,Data.Population,438000.0
Alaska,1983,Data.Population,479000.0
Alaska,1984,Data.Population,500000.0
Alaska,1985,Data.Population,521000.0
Alaska,1986,Data.Population,534000.0
Alaska,1987,Data.Population,525000.0
Alaska,1988,Data.Population,513000.0
Alaska,1989,Data.Population,527000.0
Alaska,1990,Data.Population,550043.0
Alaska,1991,Data.Population,570000.0
Alaska,1992,Data.Population,587000.0
Alaska,1993,Data.Population,599000.0
Alaska,1994,Data.Population,606000.0
Alaska,1995,Data.Population,604000.0
Alaska,1996,Data.Population,607000.0
Alaska,1997,Data.Population,609000.0
Alaska,1998,Data.Population,614000.0
Alaska,1999,Data.Population,619500.0
Alaska,2000,Data.Population,626932.0
Alaska,2001,Data.Population,633630.0
Alaska,2002,Data.Population,641482.0
Alaska,2003,Data.Population,648280.0
Alaska,2004,Data.Population,657755.0
Alaska,2005,Data.Population,663253.0
Alaska,2006,Data.Population,670053.0
Alaska,2007,Data.Population,683478.0
Alaska,2008,Data.Population,686293.0
Alaska,2009,Data.Population,698473.0
Alaska,2010,Data.Population,714146.0
Alaska,2011,Data.Population,723860.0
Alaska,2012,Data.Population,731449.0
Alaska,2013,Data.Population,735132.0
Alaska,2014,Data.Population,736732.0
Alaska,2015,Data.Population,738432.0
Alaska,2016,Data.Population,741894.0
Alaska,2017,Data.Population,739795.0
Alaska,2018,Data.Population,737438.0
Alaska,2019,Data.Population,731545.0
Arizona,1960,Data.Population,1302161.0
Arizona,1961,Data.Population,1391000.0
Arizona,1962,Data.Population,1509000.0
Arizona,1963,Data.Population,1559000.0
Arizona,1964,Data.Population,1581000.0
Arizona,1965,Data.Population,1608000.0
Arizona,1966,Data.Population,1618000.0
Arizona,1967,Data.Population,1634000.0
Arizona,1968,Data.Population,1670000.0
Arizona,1969,Data.Population,1693000.0
Arizona,1970,Data.Population,1772482.0
Arizona,1971,Data.Population,1849000.0
Arizona,1972,Data.Population,1945000.0
Arizona,1973,Data.Population,2058000.0
Arizona,1974,Data.Population,2153000.0
Arizona,1975,Data.Population,2224000.0
Arizona,1976,Data.Population,2270000.0
Arizona,1977,Data.Population,2296000.0
Arizona,1978,Data.Population,2354000.0
Arizona,1979,Data.Population,2450000.0
Arizona,1980,Data.Population,2715357.0
Arizona,1981,Data.Population,2793000.0
Arizona,1982,Data.Population,2860000.0
Arizona,1983,Data.Population,2963000.0
Arizona,1984,Data.Population,3053000.0
Arizona,1985,Data.Population,3187000.0
Arizona,1986,Data.Population,3317000.0
Arizona,1987,Data.Population,3386000.0
Arizona,1988,Data.Population,3466000.0
Arizona,1989,Data.Population,3556000.0
Arizona,1990,Data.Population,3665228.0
Arizona,1991,Data.Population,3750000.0
Arizona,1992,Data.Population,3832000.0
Arizona,1993,Data.Population,3936000.0
Arizona,1994,Data.Population,4075000.0
Arizona,1995,Data.Population,4218000.0
Arizona,1996,Data.Population,4428000.0
Arizona,1997,Data.Population,4555000.0
Arizona,1998,Data.Population,4669000.0
Arizona,1999,Data.Population,4778332.0
Arizona,2000,Data.Population,5130632.0
Arizona,2001,Data.Population,5306966.0
Arizona,2002,Data.Population,5441125.0
Arizona,2003,Data.Population,5579222.0
Arizona,2004,Data.Population,5739879.0
Arizona,2005,Data.Population,5953007.0
Arizona,2006,Data.Population,6166318.0
Arizona,2007,Data.Population,6338755.0
Arizona,2008,Data.Population,6500180.0
Arizona,2009,Data.Population,6595778.0
Arizona,2010,Data.Population,6413158.0
Arizona,2011,Data.Population,6467315.0
Arizona,2012,Data.Population,6553255.0
Arizona,2013,Data.Population,6626624.0
Arizona,2014,Data.Population,6731484.0
Arizona,2015,Data.Population,6828065.0
Arizona,2016,Data.Population,6931071.0
Arizona,2017,Data.Population,7016270.0
Arizona,2018,Data.Population,7171646.0
Arizona,2019,Data.Population,7278717.0
Arkansas,1960,Data.Population,1786272.0
Arkansas,1961,Data.Population,1797000.0
Arkansas,1962,Data.Population,1823000.0
Arkansas,1963,Data.Population,1858000.0
Arkansas,1964,Data.Population,1933000.0
Arkansas,1965,Data.Population,1960000.0
Arkansas,1966,Data.Population,1955000.0
Arkansas,1967,Data.Population,1968000.0
Arkansas,1968,Data.Population,2012000.0
Arkansas,1969,Data.Population,1995000.0
Arkansas,1970,Data.Population,1923295.0
Arkansas,1971,Data.Population,1944000.0
Arkansas,1972,Data.Population,1978000.0
Arkansas,1973,Data.Population,2037000.0
Arkansas,1974,Data.Population,2062000.0
Arkansas,1975,Data.Population,2116000.0
Arkansas,1976,Data.Population,2109000.0
Arkansas,1977,Data.Population,2144000.0
Arkansas,1978,Data.Population,2186000.0
Arkansas,1979,Data.Population,2180000.0
Arkansas,1980,Data.Population,2284037.0
Arkansas,1981,Data.Population,2294000.0
Arkansas,1982,Data.Population,2291000.0
Arkansas,1983,Data.Population,2328000.0
